year,engine_hp,number_of_doors,popularity,msrp,highway_lkm,num_market_categories,make_Acura,make_Audi,make_BMW,make_Cadillac,make_Chevrolet,make_Dodge,make_Ford,make_GMC,make_Honda,make_Hyundai,make_Infiniti,make_Mazda,make_Mercedes-Benz,make_Nissan,make_Subaru,make_Toyota,make_Volkswagen,make_Volvo,transmission_type_AUTOMATIC,transmission_type_MANUAL,driven_wheels_all wheel drive,driven_wheels_front wheel drive,driven_wheels_rear wheel drive,vehicle_size_Compact,vehicle_size_Large,vehicle_size_Midsize
2011,335.0,2.0,3916,46135,9.046538461538463,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2011,300.0,2.0,3916,40650,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2011,300.0,2.0,3916,36350,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2011,230.0,2.0,3916,29450,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2011,230.0,2.0,3916,34500,8.400357142857143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2012,230.0,2.0,3916,31200,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2012,300.0,2.0,3916,44100,9.046538461538463,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2012,300.0,2.0,3916,39300,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2012,230.0,2.0,3916,36900,8.400357142857143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2013,230.0,2.0,3916,37200,8.711481481481481,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2013,300.0,2.0,3916,39600,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2013,230.0,2.0,3916,31500,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2013,300.0,2.0,3916,44400,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2013,230.0,2.0,3916,37200,8.400357142857143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2013,230.0,2.0,3916,31500,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2013,320.0,2.0,3916,48250,9.4084,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2013,320.0,2.0,3916,43550,8.400357142857143,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1992,172.0,4.0,3105,2000,9.800416666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1992,172.0,4.0,3105,2000,9.800416666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1992,172.0,4.0,3105,2000,11.7605,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1992,172.0,4.0,3105,2000,9.800416666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1992,172.0,4.0,3105,2000,11.200476190476191,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1993,172.0,4.0,3105,2000,9.800416666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1993,172.0,4.0,3105,2000,11.7605,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1993,172.0,4.0,3105,2000,9.800416666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1993,172.0,4.0,3105,2000,9.800416666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1993,172.0,4.0,3105,2000,11.200476190476191,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1994,172.0,4.0,3105,2000,11.200476190476191,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1994,172.0,4.0,3105,2000,10.691363636363636,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1994,172.0,4.0,3105,2000,10.691363636363636,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1994,172.0,4.0,3105,2000,10.691363636363636,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1994,172.0,4.0,3105,2000,11.200476190476191,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1991,130.0,4.0,617,2000,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
1991,158.0,4.0,617,2000,9.4084,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
1992,158.0,4.0,617,2000,9.4084,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
1992,130.0,4.0,617,2000,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
1993,130.0,4.0,617,2000,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
1993,158.0,4.0,617,2000,9.4084,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
2016,240.0,2.0,3916,32850,6.720285714285715,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2016,240.0,2.0,3916,38650,6.917941176470588,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2016,320.0,2.0,3916,48750,7.58741935483871,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2016,240.0,2.0,3916,34850,6.720285714285715,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2016,240.0,2.0,3916,40650,6.917941176470588,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2016,320.0,2.0,3916,44150,7.58741935483871,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2016,240.0,2.0,3916,32850,6.917941176470588,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2016,320.0,2.0,3916,46150,7.840333333333334,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2016,320.0,2.0,3916,50750,7.840333333333334,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2017,335.0,2.0,3916,46450,7.58741935483871,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2017,335.0,2.0,3916,49050,7.3503125,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2017,335.0,2.0,3916,51050,7.3503125,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2017,335.0,2.0,3916,44450,7.3503125,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2017,248.0,2.0,3916,38950,6.917941176470588,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2017,248.0,2.0,3916,33150,6.720285714285715,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2017,248.0,2.0,3916,35150,7.127575757575758,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2017,248.0,2.0,3916,40950,7.127575757575758,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1990,162.0,4.0,3105,2000,11.7605,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1990,162.0,4.0,3105,2000,10.691363636363636,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1990,162.0,4.0,3105,2000,10.226521739130435,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1991,217.0,4.0,3105,2000,10.691363636363636,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1991,217.0,4.0,3105,2000,10.691363636363636,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1991,162.0,4.0,3105,2000,11.7605,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1996,140.0,2.0,2009,2000,8.110689655172415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
1997,140.0,2.0,2009,2000,8.110689655172415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
1998,140.0,2.0,2009,2073,8.400357142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
1996,155.0,2.0,2009,3713,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1996,155.0,2.0,2009,3520,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1997,155.0,2.0,2009,3910,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1997,155.0,2.0,2009,4182,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1997,155.0,2.0,2009,4107,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1998,155.0,2.0,2009,4299,9.4084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1998,155.0,2.0,2009,4693,9.4084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1998,155.0,2.0,2009,4107,9.4084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1991,114.0,4.0,870,2000,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1991,114.0,4.0,870,2000,10.226521739130435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
1991,114.0,4.0,870,2000,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1992,114.0,4.0,870,2000,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1992,114.0,4.0,870,2000,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1992,114.0,4.0,870,2000,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1993,114.0,4.0,870,2000,9.046538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
